"name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"Private room in Northwest Hills",8612372,"Martha",null,78731,30.36539,-97.75179,"Private room",100,1,8,"2018-10-28",0.1,1,0,0,null
"Hamilton Pool Road Guest House",1514891,"Nell",null,78738,30.30878,-97.98471,"Entire home/apt",130,2,127,"2021-09-27",1.38,1,103,18,null
"""East Austin Cozy Getaway-walk to food, bars &trail""",8708918,"Jamie And Aja",null,78702,30.25463,-97.7151,"Entire home/apt",157,3,201,"2021-10-11",2.12,1,224,2,null
"Bicycle bnb in South Central Austin",8716539,"Eric & Erin",null,78704,30.2432,-97.76651,"Entire home/apt",129,2,359,"2021-10-10",6.84,1,303,57,null
"SXSW !!!  - Beautiful Westlake/Rollingwood Home",6659104,"Tiffany",null,78746,30.27733,-97.80071,"Entire home/apt",1650,5,0,null,null,1,0,0,null
"Central Austin Luxury Loft - Completely Private",8816698,"Michelle",null,78703,30.29035,-97.75672,"Private room",159,1,171,"2021-10-10",1.85,1,260,28,null
"SOCO House w/ Private Outdoor Space",2492382,"Samuel",null,78704,30.24149,-97.74938,"Entire home/apt",450,1,1,"2014-03-12",0.01,1,363,0,null
"""Tranquil Mid Century Modern Retreat, Neighbors Downtown""",6253447,"Karen",null,78746,30.2774,-97.79235,"Entire home/apt",1111,4,39,"2021-09-27",0.42,1,97,11,null
"Delightful Hill Country Casetta",8874960,"Tatiana",null,78734,30.37567,-97.91709,"Private room",48,1,16,"2017-05-24",0.29,1,0,0,null
"Cool Off in the Pool at This Zilker Park Oasis",18253226,"Stay Local Austin",null,78704,30.25844,-97.77428,"Entire home/apt",731,2,136,"2021-09-27",3.62,28,307,35,null
"1940's Hyde Park Bungalow",578211,"Pete",null,78751,30.30085,-97.72903,"Entire home/apt",165,20,64,"2021-07-22",1.15,9,299,5,null
"The Maya Star Suite!",51183342,"Hunter",null,78704,30.24802,-97.7509,"Entire home/apt",230,2,53,"2021-09-26",0.73,5,17,24,null
"Cheerful Townhome on South Congress with Pool!",1726978,"Benjamin",null,78704,30.23896,-97.75019,"Entire home/apt",140,28,6,"2020-08-23",0.07,2,0,0,null
"Downtown Austin 1 bedroom Condo",8967238,"Heidi",null,78701,30.27094,-97.74783,"Entire home/apt",125,30,45,"2021-08-31",0.51,1,326,4,null
"ZIlker Park 1/1",8973365,"Inger",null,78704,30.25945,-97.77363,"Entire home/apt",150,2,75,"2021-10-04",0.89,1,1,10,null
"Curl up in the Window Seat at a Colorful Modern Treehouse",1232812,"Brian And Meredith",null,78704,30.2551,-97.76869,"Entire home/apt",185,3,121,"2019-10-14",1.34,1,333,0,null
"Travis Heights Gem",8428581,"Brunson",null,78704,30.24736,-97.7448,"Entire home/apt",214,2,178,"2021-10-11",2.11,1,95,32,null
"sweet light & art-filled bungalow!",175669,"Rachel",null,78704,30.24413,-97.77768,"Entire home/apt",150,30,15,"2019-04-14",0.16,2,148,0,null
"Bus Downtown And Walk to SoCo (REAL BED)",9005567,"Lori",null,78704,30.23822,-97.74897,"Private room",68,2,15,"2019-10-14",0.22,3,0,0,null
"Cozy Apartment on S. Mopac Expy",9031314,"Dylan",null,78749,30.23127,-97.82364,"Entire home/apt",300,1,0,null,null,1,0,0,null
"DOWNTOWN  • FABULOUS THREE STORY TOWNHOUSE",9053200,"Linda",null,78703,30.27637,-97.75388,"Entire home/apt",204,30,39,"2021-08-31",0.46,1,301,3,null
"Home Close to Downtown ATX with a Pool!",9035884,"Elissa",null,78746,30.2684,-97.80208,"Entire home/apt",528,2,38,"2020-08-02",0.87,1,75,0,null
"Cool Art Meets South Austin",9093395,"Cody",null,78704,30.24124,-97.77896,"Entire home/apt",100,90,0,null,null,2,260,0,null
"Charming 3 Bedroom House Downtown",4435121,"Forrest",null,78702,30.25275,-97.72538,"Entire home/apt",291,7,35,"2016-02-16",0.43,1,0,0,null
"Eastside Zenpalace Guest Suite",4912454,"Ishrat",null,78702,30.26545,-97.71687,"Private room",96,2,55,"2021-10-05",0.58,2,352,1,null
"2bd/2bth+whole house-3day+ONLY",8142606,"Martha Elena",null,78702,30.26674,-97.71776,"Entire home/apt",193,7,18,"2021-04-27",0.18,1,351,2,null
"""Sunny, quiet eco-friendly bungalow""",9123693,"Joy",null,78745,30.22092,-97.78239,"Private room",106,3,10,"2015-10-12",0.13,2,0,0,null
"""Quaint, Sunny Austin Studio rental""",9131066,"Laura",null,78704,30.25826,-97.76439,"Entire home/apt",174,2,174,"2021-09-19",3.01,1,144,20,null
"The Mandarin Suite on 4th Street",4929310,"Ryan",null,78701,30.26582,-97.74074,"Entire home/apt",362,1,189,"2021-09-06",4.22,28,311,9,null
"2-Room Suite Near Barton Springs & ACL Fest",1628864,"Michael & Luz",null,78704,30.25822,-97.7748,"Entire home/apt",78,2,208,"2021-10-07",2.25,1,168,17,null
"Private Studio attached to House in Cherrywood",8219026,"Benjamin",null,78722,30.28751,-97.70724,"Entire home/apt",58,2,234,"2021-07-25",4.33,2,68,22,null
"Cute 1Bed/1Bath N. Central Austin",9194023,"Natalie",null,78759,30.40348,-97.74316,"Entire home/apt",400,1,0,null,null,1,364,0,null
"Zilker Bungalow next to Downtown! Walk to ACL!",2157243,"Sean",null,78704,30.25279,-97.77527,"Entire home/apt",212,2,80,"2021-10-11",1.9,9,100,8,null
"The Downtown Austin Luxury Standard",4929310,"Ryan",null,78701,30.26439,-97.74026,"Entire home/apt",552,1,171,"2021-07-19",1.89,28,275,14,null
"Relaxing retreat in Hill Country",9240919,"John And Vivien",null,78736,30.26291,-97.93828,"Private room",62,2,76,"2021-07-05",0.82,2,281,1,null
"""Large Home, Small Budget, 7 Beds""",487072,"Greg & Amanda",null,78750,30.45732,-97.82291,"Entire home/apt",249,90,104,"2020-03-12",2.2,14,0,0,null
"Southern Comfort",9351276,"Chelsey",null,78704,30.23881,-97.77685,"Private room",100,1,2,"2014-01-21",0.02,1,0,0,null
"Modern home near South Congress / Downtown",7637276,"Steven",null,78704,30.25258,-97.76014,"Entire home/apt",642,2,91,"2021-09-19",1.7,1,220,15,null
"""Art Oasis in East Austin, Minutes to Downtown""",9419950,"Wade",null,78702,30.27679,-97.71519,"Entire home/apt",239,2,126,"2021-09-19",1.43,1,317,29,null
"Artist's family house",8634478,"Jennifer",null,78702,30.26015,-97.73241,"Entire home/apt",264,2,24,"2018-08-06",0.43,1,0,0,null
"Modern Garage Apt - Walk to ACL!!!",9463145,"Joi",null,78704,30.2577,-97.7675,"Entire home/apt",157,7,45,"2021-10-11",0.57,1,105,6,null
"Spacious 2 Story Downtown Condo",9506147,"Justin",null,78703,30.27679,-97.75108,"Entire home/apt",650,3,7,"2016-03-15",0.08,1,0,0,null
"Walk Everywhere in Hip E. Side + DT!",1827958,"Bryce And Rachael",null,78702,30.25995,-97.72878,"Entire home/apt",162,2,298,"2021-09-29",3.37,2,101,34,null
"""Rent the room! Fun, cute, lively place to stay!""",1714345,"Ginger",null,78745,30.20794,-97.79201,"Private room",130,2,17,"2021-10-02",0.18,1,358,6,null
"Luxurious Private Room in Condo",9555506,"Paige",null,78704,30.2458,-97.76507,"Private room",305,1,0,null,null,1,0,0,null
"Tonight Only!",8650410,"Bill",null,78745,30.21065,-97.80815,"Entire home/apt",450,1,0,null,null,1,0,0,null
"Lovely mid-century Austin home",574394,"Theresa",null,78723,30.31271,-97.70047,"Entire home/apt",150,30,20,"2018-10-21",0.21,1,0,0,null
"Remote Work Extended Stay #1  by AustinGetaways",487072,"Greg & Amanda",null,78757,30.3603,-97.72571,"Entire home/apt",192,21,30,"2021-06-30",1.61,14,0,2,null
"""Private 30 acre ranch, 15 minutes to downtown.""",9601914,"Natalie",null,78736,30.23749,-97.88265,"Entire home/apt",1880,3,37,"2021-07-18",0.72,1,326,5,null
"House Close to Everything! Great for SXSW and ACL!",5502116,"Trey",null,78704,30.22623,-97.76546,"Entire home/apt",289,3,9,"2017-10-16",0.11,1,0,0,null
"""Charming 2 Rm Suite in Barton Hills, South Lamar""",9666649,"Robert And Inge",null,78704,30.24679,-97.7886,"Private room",125,2,8,"2021-06-27",0.09,1,330,1,null
"Tarrytown Condo- Enfield road",9678761,"Austen",null,78703,30.2877,-97.76548,"Entire home/apt",329,1,0,null,null,1,361,0,null
"Condo Formula 1 Weekend Nov. 15-17",9075763,"Miles",null,78703,30.28793,-97.77076,"Entire home/apt",350,1,0,null,null,1,0,0,null
"House for SXSW 1 block to green belt",3752014,"Kirsten",null,78735,30.23764,-97.80746,"Entire home/apt",236,2,5,"2018-04-29",0.14,4,0,0,null
"Furnished House in Tarrytown",9704934,"Shawna",null,78703,30.29287,-97.76315,"Entire home/apt",221,1,99,"2021-08-22",3.15,1,241,15,null
"Private home in Steiner Ranch",9728400,"Justin",null,78732,30.34736,-97.91259,"Private room",155,1,0,null,null,1,0,0,null
"Historic Bungalow-Style Cottage Near Downtown",3715137,"Melissa",null,78702,30.2678,-97.73078,"Entire home/apt",170,2,381,"2021-10-03",3.96,1,75,32,null
"Eastside Guest Studio near Lake",61292,"Jeany",null,78702,30.2518,-97.72129,"Entire home/apt",80,1,701,"2021-09-29",13.94,1,36,58,null
"SOCO South Congress ATX Your Modern Guest House!!",2927288,"Tracy",null,78704,30.24375,-97.75151,"Entire home/apt",162,1,389,"2021-10-11",4.29,2,344,46,null
"Cute 2 Bdrm South Austin Bungalow!",1822593,"Alexa",null,78704,30.23307,-97.78228,"Entire home/apt",239,2,53,"2021-10-10",0.57,1,13,2,null
"Stunning downtown Austin loft",9797006,"Russell",null,78703,30.26975,-97.75081,"Entire home/apt",764,2,1,"2015-09-21",0.01,1,0,0,null
"Waterfront Adventure on Lake Austin",8597490,"Sharon",null,78732,30.3466,-97.87423,"Entire home/apt",260,2,101,"2021-10-11",7.37,1,342,24,null
"Impeccable modern home",6090278,"Tim",null,78723,30.30679,-97.69458,"Entire home/apt",800,14,0,null,null,2,354,0,null
"Treehouse Apt. Cute Converted Attic -Deck-Comfy!",4753546,"Paprika",null,78702,30.25408,-97.72073,"Entire home/apt",60,30,21,"2021-09-06",0.25,3,0,3,null
"Entire Apt in Central ATX",3730648,"Benjamin",null,78731,30.31214,-97.75159,"Entire home/apt",79,1,629,"2021-10-11",9.51,2,228,74,null
"Walk Downtown - Swede Hill Chalet",247600,"Danielle",null,78702,30.27321,-97.728,"Private room",100,1,21,"2018-12-05",0.22,1,336,0,null
"Master bedroom with bathroom Queen",9927636,"Anna",null,78758,30.38142,-97.70083,"Private room",90,30,4,"2021-10-08",0.16,4,336,1,null
"""Good room for F1, 5minutes to metro""",9586902,"Mathew",null,78745,30.21346,-97.81583,"Private room",150,1,0,null,null,1,0,0,null
"Georgeous 2BR home in East Austin",9983041,"Fiore",null,78721,30.26816,-97.68658,"Entire home/apt",400,2,2,"2015-10-12",0.02,3,360,0,null
"Spacious master in charming 2/2",9988390,"G Scott",null,78751,30.31923,-97.72173,"Private room",70,2,7,"2017-12-10",0.09,1,0,0,null
"Modern Upstairs Retreat #1 with Private Bathroom",1421618,"Diana",null,78729,30.46288,-97.78595,"Private room",52,2,54,"2017-05-29",0.72,4,0,0,null
"East Austin Tiny Loft House",5279293,"Frank And Katie",null,78702,30.27699,-97.70816,"Entire home/apt",72,14,109,"2020-07-31",3.57,1,0,0,null
"""Modern, Lofted Cottage with Custom Woodwork in Central Atx""",4018268,"Bradley",null,78702,30.28092,-97.71169,"Entire home/apt",170,1,469,"2021-09-26",6.04,2,232,64,null
"(MOTO GP) New Home in East Austin",10016864,"Robert",null,78724,30.27872,-97.62959,"Entire home/apt",121,2,2,"2016-03-16",0.03,1,0,0,null
"""SXSW, pool, friendly hostesses!""",890453,"Vyjayanthi",null,78704,30.23974,-97.78969,"Private room",179,2,3,"2014-01-03",0.03,1,0,0,null
"Quiet Studio in North University",10293287,"Ann",null,78705,30.29805,-97.73215,"Entire home/apt",121,1,77,"2021-09-26",2.45,5,340,19,null
"Tiny House Downtown in Walkable Location!",2157243,"Sean",null,78703,30.27835,-97.76208,"Entire home/apt",106,2,365,"2021-10-03",6.95,9,123,34,null
"3BR/3BA East Downtown House",10487205,"Kirk And Linley",null,78702,30.25789,-97.72371,"Entire home/apt",975,3,5,"2019-04-06",0.06,1,86,0,null
"Lovely Clarksville Neighborhood Home near Downtown",10500741,"Molly",null,78703,30.27521,-97.7591,"Entire home/apt",533,3,64,"2021-10-04",0.86,1,81,2,null
"Sweet Central Suite!",10503694,"Christina",null,78703,30.29234,-97.75876,"Entire home/apt",81,30,198,"2021-06-01",2.36,2,0,5,null
"Bouldin Creek Bungalow - Executive Rental!",1518835,"Russ",null,78704,30.25132,-97.75794,"Entire home/apt",775,3,10,"2021-09-30",0.11,2,354,3,null
"ACL 700sf Apt on South Lamar 78704",4952321,"Jami",null,78704,30.2404,-97.78635,"Entire home/apt",123,2,3,"2015-10-12",0.04,1,0,0,null
"""Safe Haven. Work, Child & Dog Friendly. Private Fenced Yard.""",80406,"Dani",null,78704,30.24113,-97.74168,"Entire home/apt",310,1,145,"2021-08-24",2.6,12,115,9,null
"Private Master Room - Queen Bed and Private Bath",10687718,"Tony",null,78744,30.20025,-97.72914,"Private room",120,2,5,"2019-11-03",0.05,4,78,0,null
"""Green Bungalow! Great location, Walk Downtown!""",5367671,"Jeremy",null,78702,30.25748,-97.72515,"Entire home/apt",109,4,63,"2021-10-11",1.02,2,34,17,null
"""Visit SoCo from a Spacious, Southern Luxury Home""",1488733,"Vacasa Texas",null,78704,30.2431,-97.75928,"Entire home/apt",378,2,86,"2021-09-19",1.07,21,344,8,null
"""Huge 4 bedroom house, walk Downtown!""",3538703,"Mike",null,78702,30.27248,-97.72275,"Entire home/apt",529,3,27,"2021-10-03",0.34,6,145,14,null
"ACL | E 11th Modern Home | Eastside Artistic",1609994,"Brennen & Sierra",null,78702,30.26999,-97.72963,"Entire home/apt",590,2,2,"2016-01-10",0.02,1,0,0,null
"""Granny's House, East Downtown, 2/1""",10694081,"James",null,78722,30.28296,-97.71739,"Entire home/apt",166,2,52,"2021-09-19",0.69,1,161,15,null
"Modern Upstairs Retreat #2 with Private Bath",1421618,"Diana",null,78729,30.46514,-97.78487,"Private room",50,2,49,"2018-04-26",0.58,4,0,0,null
"""Modern luxury,  just a short drive from Downtown!""",1421618,"Diana",null,78729,30.46291,-97.78598,"Entire home/apt",385,2,18,"2019-03-24",0.23,4,0,0,null
"Modern East ATX 2/2 Bungalow",2497240,"Natasha",null,78702,30.2514,-97.71626,"Entire home/apt",300,3,17,"2021-07-31",0.18,1,36,1,null
"3br House South Congress 2 queen size beds SOCO",10960502,"Scarlett",null,78745,30.21025,-97.76604,"Entire home/apt",80,30,12,"2015-07-01",0.15,1,0,0,null
"Master bed and bath in lovely home",1681866,"Allyson",null,78745,30.20274,-97.81398,"Private room",100,30,1,"2018-12-30",0.03,2,0,0,null
"Sweet South Austin Modern Home",5106595,"Mary",null,78704,30.2508,-97.7772,"Entire home/apt",525,3,21,"2021-07-10",0.43,1,356,2,null
"Spacious & Charming in Downtown ATX",3820555,"Justin&Becca",null,78702,30.26245,-97.73316,"Entire home/apt",450,2,272,"2021-10-03",3.2,2,278,44,null
"LEASE: Gorgeous 2-Home Compound",750379,"Teresa & Rino",null,78704,30.24848,-97.75533,"Entire home/apt",5000,30,0,null,null,1,365,0,null
"Modern Zen Oasis - Loft in the Canopy",11152728,"Jon",null,78702,30.278,-97.70499,"Private room",95,2,26,"2018-05-19",0.36,3,0,0,null
"Modern loft in the heart of E 6th",11167488,"Timothy",null,78702,30.25956,-97.72919,"Entire home/apt",479,31,1,"2015-03-23",0.01,1,90,0,null
"Beautiful Northwest Hills duplex",11215879,"Barton",null,78731,30.3499,-97.75049,"Entire home/apt",199,2,65,"2021-10-11",2.64,1,1,11,null
"Luxury Apartment - Right in the Heart of SoCo",6386445,"Nan",null,78704,30.24689,-97.75171,"Entire home/apt",116,3,144,"2021-09-13",2.11,2,104,9,null
"Renovated Eastside Mid-Century Duplex",11263914,"David",null,78722,30.29395,-97.71336,"Entire home/apt",152,5,153,"2021-10-02",1.91,4,69,19,null
"Peaceful Bungalow with Fenced Yard near Shops and Cafes",80406,"Dani",null,78704,30.24572,-97.74816,"Entire home/apt",240,1,236,"2021-10-01",5.47,12,81,40,null
"Ridgeview",1981922,"Silvia",null,78704,30.25677,-97.77765,"Entire home/apt",3850,3,2,"2016-11-28",0.03,1,364,0,null
"""Private room, mins from Zilker and the greenbelt""",11366658,"Atif",null,78746,30.25611,-97.79028,"Private room",102,3,2,"2014-10-15",0.02,1,0,0,null
"Private loft available for SXSW",11367937,"Steph",null,78722,30.28887,-97.71731,"Entire home/apt",700,2,0,null,null,1,0,0,null
"Private Zilker Studio with Free Bike Rental",11387520,"John",null,78704,30.24888,-97.77176,"Entire home/apt",101,2,178,"2020-03-12",2.64,1,0,0,null
"Austin Waterfront Retreat",11421571,"Curtis",null,78746,30.275,-97.84196,"Entire home/apt",1200,3,5,"2016-03-18",0.06,1,0,0,null
"2 Bdrm House. 10 min South of Dwntn",11461646,"Loren",null,78745,30.20264,-97.78381,"Entire home/apt",332,3,0,null,null,1,0,0,null
"Lake View with Hot Tub",487072,"Greg & Amanda",null,78759,30.40668,-97.73347,"Entire home/apt",339,30,144,"2020-03-21",1.88,14,0,0,null
"Central Austin Urban Cottage-SXSW",627048,"Lisa",null,78756,30.32401,-97.73312,"Entire home/apt",200,3,1,"2016-03-22",0.01,1,0,0,null
"Comfortable Central Apartment with Unique Austin Vibe Perfect for Long-term Stays",11514096,"Cynthia & Bobby",null,78703,30.29133,-97.76049,"Entire home/apt",175,1,456,"2021-04-13",5.03,1,222,13,null
"Cute Cottage Near Downtown & UT",487072,"Greg & Amanda",null,78731,30.32904,-97.75182,"Entire home/apt",279,90,74,"2020-03-12",2.53,14,0,0,null
"21st-Century Granny Flat in Heart of East Austin",1507234,"Kristine",null,78702,30.27435,-97.72533,"Entire home/apt",91,1,611,"2021-10-13",7.7,1,13,109,null
"Walk to 6th or S Congress! Studio",11602302,"Michelle",null,78741,30.2478,-97.73237,"Entire home/apt",500,1,0,null,null,1,0,0,null
"""Studio loft w/ private entry, balcony, full bath""",11606005,"Michael",null,78702,30.2545,-97.73064,"Entire home/apt",137,2,39,"2021-10-11",1.24,2,304,15,null
"Austin's Downtown Speakeasy Hotel",4929310,"Ryan",null,78701,30.26594,-97.73963,"Entire home/apt",243,1,149,"2021-09-27",1.74,28,293,21,null
"Modern S. Austin home 3 bed/2 bath",9060478,"Christina",null,78745,30.21955,-97.79577,"Entire home/apt",400,3,2,"2014-03-17",0.02,1,362,0,null
"Sunny&Stunning East Austin/Downtown",11655380,"Jean",null,78702,30.25329,-97.72622,"Entire home/apt",459,2,52,"2020-03-12",0.61,1,0,0,null
"1920's East Austin Cottage",11710972,"David",null,78702,30.25737,-97.73121,"Entire home/apt",106,1,224,"2021-09-16",2.85,1,148,43,null
"East Austin clean/cozy/modern",387916,"Caitlin",null,78702,30.2638,-97.71527,"Entire home/apt",400,4,3,"2019-03-14",0.04,1,0,0,null
"Peaceful retreat in Hill Country",9240919,"John And Vivien",null,78736,30.25318,-97.9284,"Private room",62,2,109,"2021-07-01",2.68,2,95,1,null
"Master bedroom with private bathroom",3951061,"Benjamin",null,78759,30.42654,-97.77645,"Private room",72,3,0,null,null,3,166,0,null
"Room w Queen Bed",2655102,"Rockie",null,78702,30.28088,-97.70491,"Private room",164,2,0,null,null,1,0,0,null
"Modern Condo for SXSW 2016!!!",8306988,"Zach",null,78703,30.29061,-97.77328,"Entire home/apt",750,5,0,null,null,1,365,0,null
"Luxury Downtown Austin Apartment",11795334,"Holly",null,78701,30.26966,-97.73411,"Entire home/apt",175,1,35,"2015-05-12",0.38,1,0,0,null
"Craftsman Luxury by Downtown!",1642301,"Charles And Sarah",null,78703,30.27267,-97.75517,"Entire home/apt",129,1,12,"2016-03-15",0.13,1,0,0,null
"Nice House in Great Hills!",10793384,"Seth",null,78759,30.41738,-97.7761,"Private room",99,1,0,null,null,1,0,0,null
"Mid Century Modern Sanctuary",11826507,"Chris & Hillary",null,78741,30.22095,-97.73584,"Entire home/apt",290,4,63,"2018-10-22",0.68,1,0,0,null
"SOUTH AUSTIN HOME/3 Bed/Sleeps 6",11838303,"Carol",null,78748,30.14765,-97.82004,"Entire home/apt",300,4,0,null,null,1,0,0,null
"!Private Room- 10 mins to Downtown",7567467,"Chalu",null,78752,30.32674,-97.68213,"Private room",59,1,268,"2020-03-21",4.45,10,1,0,null
"Peaceful Hill Country Escape For 5+",11863622,"Jon + Laura",null,78736,30.24647,-97.99533,"Entire home/apt",325,2,22,"2020-11-22",0.24,1,356,1,null
"""Clean Quiet Haven with Huge Fenced Yard, Fast Internet""",80406,"Dani",null,78704,30.24097,-97.7417,"Entire home/apt",225,1,98,"2021-09-07",1.55,12,118,19,null
"3BR Bungalow - 1 mile from downtown",11878285,"Nick",null,78702,30.27444,-97.71585,"Entire home/apt",700,3,0,null,null,1,0,0,null
"Best Location in Austin!",11881904,"Ben",null,78704,30.2407,-97.75026,"Entire home/apt",1200,1,0,null,null,1,0,0,null
"Perfect SXSW 2 Bed/2 Bath Rental",11915921,"Whitney",null,78703,30.28301,-97.76009,"Entire home/apt",700,1,0,null,null,1,0,0,null
"Sweet East Austin Suite",11932614,"Mari And Danny",null,78702,30.26012,-97.70708,"Entire home/apt",123,2,248,"2021-10-04",5.74,1,27,41,null
"!!Central Austin- 3bed 2bath house - sleep 6+",7567467,"Chalu",null,78752,30.32621,-97.68296,"Entire home/apt",299,2,51,"2021-08-08",2.15,10,16,3,null
"SXSW fun big  4BR/3BA Austin House.  Sleeps 8!",11936920,"Justin",null,78746,30.27689,-97.84348,"Entire home/apt",1500,1,0,null,null,1,0,0,null
"Cute Cottage Minutes from Downtown",11951537,"Jill",null,78704,30.23176,-97.76542,"Entire home/apt",200,1,0,null,null,1,0,0,null
"SXSW House only 10 mins to Downtown",11975520,"Ivy",null,78746,30.27685,-97.8051,"Entire home/apt",2500,5,0,null,null,1,0,0,null
"SXSW-Central/close to transit",11979558,"Beth",null,78752,30.32969,-97.719,"Entire home/apt",500,4,0,null,null,1,0,0,null
"3/2 SXSW Condo in Central Austin",11981626,"Amy",null,78704,30.2366,-97.74842,"Entire home/apt",400,2,2,"2016-02-09",0.02,1,0,0,null
"""Walk to SoCo from a Stylish, Sunny, Mid-Century Retreat""",80406,"Dani",null,78704,30.24417,-97.73988,"Entire home/apt",225,1,132,"2021-07-16",1.55,12,142,14,null
"South Austin SoCo Cottage - Walk to S Congress",11997337,"Jon",null,78704,30.23963,-97.75795,"Entire home/apt",100,2,449,"2021-10-12",5.77,1,35,52,null
"Cozy 2 bdrm in Clarksville for SXSW",11941499,"Chudala",null,78703,30.27896,-97.76119,"Entire home/apt",475,5,0,null,null,1,0,0,null
"Modern Zen Oasis - Bedroom 1",11152728,"Jon",null,78702,30.27395,-97.71223,"Private room",85,2,14,"2018-04-29",0.29,3,0,0,null
"Large Eastside House sleeps 6",12026312,"Cotton",null,78702,30.27314,-97.72693,"Entire home/apt",600,2,9,"2016-03-19",0.1,1,0,0,null
"Artist's Pad in Travis Heights",1093564,"Travis",null,78704,30.23962,-97.74086,"Entire home/apt",93,4,76,"2021-06-03",0.82,1,288,7,null
"Willow St Wungalow: East Austin",9196522,"Jaquelyn",null,78702,30.25805,-97.73363,"Entire home/apt",1000,2,9,"2016-07-13",0.14,1,0,0,null
"Great location downtown for SXSW!",12033240,"Valentina",null,78704,30.24326,-97.74856,"Entire home/apt",2000,4,0,null,null,1,0,0,null
"SWSX PERFECT Uptown Duplex",12036969,"Linda",null,78704,30.22915,-97.74508,"Entire home/apt",200,1,6,"2017-03-19",0.08,1,0,0,null
"Modern Waterfront Apartment with Panoramic Lake Views",574218,"Matthew",null,78731,30.31374,-97.7745,"Entire home/apt",185,7,115,"2021-10-01",2.99,1,28,8,null
"2BR/2Bth condo lux bldg heatd pool gym 2 car gar",12052171,"Ellen",null,78701,30.26833,-97.74806,"Entire home/apt",289,180,3,"2016-03-16",0.04,1,122,0,null
"3 bedroom Austin House",12060497,"Allison",null,78749,30.20566,-97.83985,"Entire home/apt",750,1,0,null,null,1,0,0,null
"Great SXSW condo- walk to Downtown!",860438,"Charlotte",null,78741,30.2444,-97.72514,"Entire home/apt",490,1,0,null,null,1,362,0,null
"Private Summer Bedroom w/BR",3197761,"Sebastian",null,78703,30.2685,-97.75655,"Private room",150,2,1,"2015-03-18",0.01,1,0,0,null
"Charming vintage cottage for SXSW",11980126,"David",null,78702,30.26384,-97.7188,"Entire home/apt",350,7,0,null,null,1,0,0,null
"Cozy bedroom for rent.",12100711,"Jason",null,78745,30.21234,-97.77975,"Private room",39,1,54,"2020-07-06",1.68,1,0,0,null
"Hyde Park Studio for SXSW",12127926,"Henry",null,78751,30.30893,-97.73076,"Entire home/apt",125,2,0,null,null,1,0,0,null
"Spacious East Side Haven",11904726,"Sarah",null,78724,30.289,-97.65883,"Entire home/apt",400,3,0,null,null,1,362,0,null
"SXSW Home",1821807,"Mike And Crystal",null,78702,30.26255,-97.71374,"Entire home/apt",275,3,7,"2016-03-15",0.08,1,0,0,null
"Centrally Located Apartment with Kitchen & Laundry",12145106,"Elizabeth",null,78757,30.34224,-97.71843,"Entire home/apt",97,2,144,"2021-09-28",5.81,1,301,28,null
"East Austin home walkable/bikeable to SXSW!",1878090,"Anna",null,78702,30.25466,-97.71991,"Entire home/apt",475,1,1,"2014-03-19",0.01,1,0,0,null
"SXSW House in Clarksville - 1 mile from downtown",12163791,"Ben",null,78703,30.2828,-97.76114,"Entire home/apt",1100,3,0,null,null,1,0,0,null
"SXSW",12165478,"Roberto",null,78721,30.27854,-97.69352,"Entire home/apt",900,1,0,null,null,1,0,0,null
"Luxery Apt on Town Lake",5005633,"James",null,78741,30.24197,-97.71564,"Private room",267,1,0,null,null,1,0,0,null
"Penthouse Lake View Near Downtown",12179673,"JoAnn",null,78753,30.36894,-97.68091,"Entire home/apt",900,1,1,"2014-03-12",0.01,1,0,0,null
"Best House Ever!",12180722,"Gabrielle",null,78749,30.20379,-97.83795,"Private room",135,2,0,null,null,1,0,0,null
"So. Austin 2/1 w private bath",8354530,"Pat",null,78745,30.22962,-97.81201,"Private room",189,1,0,null,null,1,0,0,null
"Beautiful Farmhouse Cottage in Central Austin",12191357,"Kieu",null,78757,30.34465,-97.73308,"Entire home/apt",179,3,27,"2020-03-17",0.48,1,0,0,null
"Cozy and comfortable one bdrm apt",1674764,"Carol",null,78751,30.31082,-97.71956,"Entire home/apt",106,2,11,"2021-04-19",0.19,1,166,2,null
"Central Home for SXSW",12206063,"Hillarey",null,78703,30.29936,-97.77153,"Entire home/apt",2000,1,0,null,null,1,0,0,null
"""Private, spacious suite in excellent neighborhood!""",2665483,"Alexandra",null,78703,30.29743,-97.75062,"Private room",142,1,126,"2021-10-11",1.5,1,57,3,null
"Bungalow in the Heart of South Austin",12212172,"Nicholas",null,78704,30.24693,-97.76921,"Entire home/apt",174,30,164,"2021-10-04",2.02,1,14,9,null
"Charming 1BD for SXSW",10895151,"Parker",null,78752,30.33782,-97.7115,"Private room",200,1,0,null,null,1,0,0,null
"stunning",1991877,"Lemuel",null,78704,30.23349,-97.77454,"Private room",333,1,0,null,null,1,0,0,null
"""Charming, Newly Updated Craftsman-Style Home Located in Austin's SoCo District""",5196648,"Anthony & Hayley",null,78704,30.23721,-97.75909,"Entire home/apt",150,2,249,"2020-03-16",3.2,2,1,0,null
"Hill Country Home Next To Downtown",10678098,"Brian",null,78746,30.25727,-97.79121,"Entire home/apt",875,1,0,null,null,1,0,0,null
